Date,Fut,Tag,Value,month,year
6/27/2003,July 05,P Change,0,6,2003
6/27/2003,July 05,OI,0,6,2003
6/27/2003,July 05,OI Change,0,6,2003
6/27/2003,Totals,Sales,39442,6,2003
6/27/2003,Totals,S Change,6466,6,2003
6/27/2003,Totals,Purchase,9128,6,2003
6/27/2003,Totals,P Change,171,6,2003
6/27/2003,Totals,OI,55957,6,2003
6/27/2003,Totals,OI Change,-4078,6,2003
7/11/2003,July 03,Sales,49,7,2003
7/11/2003,July 03,S Change,0,7,2003
7/11/2003,July 03,Purchase,0,7,2003
7/11/2003,July 03,P Change,0,7,2003
7/11/2003,July 03,OI,15,7,2003
7/11/2003,July 03,OI Change,-46,7,2003
7/11/2003,October 03,Sales,2180,7,2003
7/11/2003,October 03,S Change,-254,7,2003
7/11/2003,October 03,Purchase,521,7,2003
7/11/2003,October 03,P Change,5,7,2003
7/11/2003,October 03,OI,3499,7,2003
7/11/2003,October 03,OI Change,-627,7,2003
7/11/2003,December 03,Sales,10336,7,2003
7/11/2003,December 03,S Change,1503,7,2003
7/11/2003,December 03,Purchase,6378,7,2003
7/11/2003,December 03,P Change,-557,7,2003
7/11/2003,December 03,OI,48052,7,2003
7/11/2003,December 03,OI Change,4609,7,2003
7/11/2003,March 04,Sales,10016,7,2003
7/11/2003,March 04,S Change,258,7,2003
7/11/2003,March 04,Purchase,1119,7,2003
7/11/2003,March 04,P Change,-2,7,2003
7/11/2003,March 04,OI,7025,7,2003
7/11/2003,March 04,OI Change,590,7,2003
7/11/2003,May 04,Sales,6403,7,2003
7/11/2003,May 04,S Change,81,7,2003
7/11/2003,May 04,Purchase,1463,7,2003
7/11/2003,May 04,P Change,-18,7,2003
7/11/2003,May 04,OI,2518,7,2003
7/11/2003,May 04,OI Change,220,7,2003
7/11/2003,July 04,Sales,9645,7,2003
7/11/2003,July 04,S Change,-40,7,2003
7/11/2003,July 04,Purchase,45,7,2003
7/11/2003,July 04,P Change,-132,7,2003
7/11/2003,July 04,OI,2185,7,2003
7/11/2003,July 04,OI Change,229,7,2003
7/11/2003,October 04,Sales,1800,7,2003
7/11/2003,October 04,S Change,44,7,2003
7/11/2003,October 04,Purchase,17,7,2003
7/11/2003,October 04,P Change,0,7,2003
7/11/2003,October 04,OI,109,7,2003
7/11/2003,October 04,OI Change,27,7,2003
7/11/2003,December 04,Sales,1962,7,2003
7/11/2003,December 04,S Change,16,7,2003
7/11/2003,December 04,Purchase,23,7,2003
7/11/2003,December 04,P Change,0,7,2003
7/11/2003,December 04,OI,555,7,2003
7/11/2003,December 04,OI Change,66,7,2003
7/11/2003,March 05,Sales,572,7,2003
7/11/2003,March 05,S Change,0,7,2003
7/11/2003,March 05,Purchase,0,7,2003
7/11/2003,March 05,P Change,0,7,2003
7/11/2003,March 05,OI,10,7,2003
7/11/2003,March 05,OI Change,0,7,2003
7/11/2003,May 05,Sales,306,7,2003
7/11/2003,May 05,S Change,0,7,2003
7/11/2003,May 05,Purchase,0,7,2003
7/11/2003,May 05,P Change,0,7,2003
7/11/2003,May 05,OI,25,7,2003
7/11/2003,May 05,OI Change,0,7,2003
7/11/2003,July 05,Sales,606,7,2003
7/11/2003,July 05,S Change,0,7,2003
7/11/2003,July 05,Purchase,0,7,2003
7/11/2003,July 05,P Change,0,7,2003
7/11/2003,July 05,OI,0,7,2003
7/11/2003,July 05,OI Change,0,7,2003
7/11/2003,December 05,Sales,435,7,2003
7/11/2003,December 05,S Change,0,7,2003
7/11/2003,December 05,Purchase,0,7,2003
7/11/2003,December 05,P Change,0,7,2003
7/11/2003,December 05,OI,0,7,2003
7/11/2003,December 05,OI Change,0,7,2003
7/11/2003,Totals,Sales,44310,7,2003
7/11/2003,Totals,S Change,1608,7,2003
7/11/2003,Totals,Purchase,9566,7,2003
7/11/2003,Totals,P Change,-704,7,2003
7/11/2003,Totals,OI,63993,7,2003
7/11/2003,Totals,OI Change,5068,7,2003
7/18/2003,July 03,Sales,0,7,2003
7/18/2003,July 03,S Change,-49,7,2003
7/18/2003,July 03,Purchase,0,7,2003
7/18/2003,July 03,P Change,0,7,2003
7/18/2003,July 03,OI,0,7,2003
7/18/2003,July 03,OI Change,-15,7,2003
7/18/2003,October 03,Sales,2067,7,2003
7/18/2003,October 03,S Change,-113,7,2003
7/18/2003,October 03,Purchase,596,7,2003
7/18/2003,October 03,P Change,75,7,2003
7/18/2003,October 03,OI,3615,7,2003
7/18/2003,October 03,OI Change,116,7,2003
7/18/2003,December 03,Sales,8655,7,2003
7/18/2003,December 03,S Change,-1681,7,2003
7/18/2003,December 03,Purchase,6890,7,2003
7/18/2003,December 03,P Change,512,7,2003
7/18/2003,December 03,OI,47561,7,2003
7/18/2003,December 03,OI Change,-491,7,2003
7/18/2003,March 04,Sales,10264,7,2003
7/18/2003,March 04,S Change,248,7,2003
7/18/2003,March 04,Purchase,1121,7,2003
7/18/2003,March 04,P Change,2,7,2003
7/18/2003,March 04,OI,7552,7,2003
7/18/2003,March 04,OI Change,527,7,2003
7/18/2003,May 04,Sales,6400,7,2003
7/18/2003,May 04,S Change,-3,7,2003
7/18/2003,May 04,Purchase,1457,7,2003
7/18/2003,May 04,P Change,-6,7,2003
7/18/2003,May 04,OI,2503,7,2003
7/18/2003,May 04,OI Change,-15,7,2003
7/18/2003,July 04,Sales,9763,7,2003
7/18/2003,July 04,S Change,118,7,2003
7/18/2003,July 04,Purchase,45,7,2003
7/18/2003,July 04,P Change,0,7,2003
7/18/2003,July 04,OI,2283,7,2003
7/18/2003,July 04,OI Change,98,7,2003
7/18/2003,October 04,Sales,1896,7,2003
7/18/2003,October 04,S Change,96,7,2003
7/18/2003,October 04,Purchase,17,7,2003
7/18/2003,October 04,P Change,0,7,2003
7/18/2003,October 04,OI,109,7,2003
7/18/2003,October 04,OI Change,0,7,2003
7/18/2003,December 04,Sales,1992,7,2003
7/18/2003,December 04,S Change,30,7,2003
7/18/2003,December 04,Purchase,23,7,2003
7/18/2003,December 04,P Change,0,7,2003
7/18/2003,December 04,OI,538,7,2003
7/18/2003,December 04,OI Change,-17,7,2003
7/18/2003,March 05,Sales,572,7,2003
7/18/2003,March 05,S Change,0,7,2003
7/18/2003,March 05,Purchase,0,7,2003
7/18/2003,March 05,P Change,0,7,2003
7/18/2003,March 05,OI,10,7,2003
7/18/2003,March 05,OI Change,0,7,2003
7/18/2003,May 05,Sales,306,7,2003
7/18/2003,May 05,S Change,0,7,2003
7/18/2003,May 05,Purchase,0,7,2003
7/18/2003,May 05,P Change,0,7,2003
7/18/2003,May 05,OI,25,7,2003
7/18/2003,May 05,OI Change,0,7,2003
7/18/2003,July 05,Sales,606,7,2003
7/18/2003,July 05,S Change,0,7,2003
7/18/2003,July 05,Purchase,0,7,2003
7/18/2003,July 05,P Change,0,7,2003
7/18/2003,July 05,OI,0,7,2003
7/18/2003,July 05,OI Change,0,7,2003
7/18/2003,December 05,Sales,435,7,2003
7/18/2003,December 05,S Change,0,7,2003
7/18/2003,December 05,Purchase,0,7,2003
7/18/2003,December 05,P Change,0,7,2003
7/18/2003,December 05,OI,0,7,2003
7/18/2003,December 05,OI Change,0,7,2003
7/18/2003,Totals,Sales,42956,7,2003
7/18/2003,Totals,S Change,-1354,7,2003
7/18/2003,Totals,Purchase,10149,7,2003
7/18/2003,Totals,P Change,583,7,2003
7/18/2003,Totals,OI,64196,7,2003
7/18/2003,Totals,OI Change,203,7,2003
7/25/2003,October 03,Sales,1749,7,2003
7/25/2003,October 03,S Change,-318,7,2003
7/25/2003,October 03,Purchase,619,7,2003
7/25/2003,October 03,P Change,23,7,2003
7/25/2003,October 03,OI,3439,7,2003
7/25/2003,October 03,OI Change,-176,7,2003
7/25/2003,December 03,Sales,8571,7,2003
7/25/2003,December 03,S Change,-84,7,2003
7/25/2003,December 03,Purchase,7103,7,2003
7/25/2003,December 03,P Change,213,7,2003
7/25/2003,December 03,OI,44974,7,2003
7/25/2003,December 03,OI Change,-2587,7,2003
7/25/2003,March 04,Sales,10586,7,2003
7/25/2003,March 04,S Change,322,7,2003
7/25/2003,March 04,Purchase,1121,7,2003
7/25/2003,March 04,P Change,0,7,2003
7/25/2003,March 04,OI,8531,7,2003
7/25/2003,March 04,OI Change,979,7,2003
7/25/2003,May 04,Sales,6636,7,2003
7/25/2003,May 04,S Change,236,7,2003
7/25/2003,May 04,Purchase,1446,7,2003
7/25/2003,May 04,P Change,-11,7,2003
7/25/2003,May 04,OI,2515,7,2003
7/25/2003,May 04,OI Change,12,7,2003
7/25/2003,July 04,Sales,10136,7,2003
7/25/2003,July 04,S Change,373,7,2003
7/25/2003,July 04,Purchase,45,7,2003
7/25/2003,July 04,P Change,0,7,2003
7/25/2003,July 04,OI,2429,7,2003
7/25/2003,July 04,OI Change,146,7,2003
7/25/2003,October 04,Sales,1903,7,2003
7/25/2003,October 04,S Change,7,7,2003
7/25/2003,October 04,Purchase,17,7,2003
7/25/2003,October 04,P Change,0,7,2003
7/25/2003,October 04,OI,109,7,2003
7/25/2003,October 04,OI Change,0,7,2003
7/25/2003,Decembe 04,Sales,1992,7,2003
7/25/2003,Decembe 04,S Change,0,7,2003
7/25/2003,Decembe 04,Purchase,23,7,2003
7/25/2003,Decembe 04,P Change,0,7,2003
7/25/2003,Decembe 04,OI,595,7,2003
7/25/2003,Decembe 04,OI Change,57,7,2003
7/25/2003,March 05,Sales,572,7,2003
7/25/2003,March 05,S Change,0,7,2003
7/25/2003,March 05,Purchase,0,7,2003
7/25/2003,March 05,P Change,0,7,2003
7/25/2003,March 05,OI,10,7,2003
7/25/2003,March 05,OI Change,0,7,2003
7/25/2003,May 05,Sales,306,7,2003
7/25/2003,May 05,S Change,0,7,2003
7/25/2003,May 05,Purchase,0,7,2003
7/25/2003,May 05,P Change,0,7,2003
7/25/2003,May 05,OI,25,7,2003
7/25/2003,May 05,OI Change,0,7,2003
7/25/2003,July 05,Sales,606,7,2003
7/25/2003,July 05,S Change,0,7,2003
7/25/2003,July 05,Purchase,0,7,2003
7/25/2003,July 05,P Change,0,7,2003
7/25/2003,July 05,OI,0,7,2003
7/25/2003,July 05,OI Change,0,7,2003
7/25/2003,December 05,Sales,435,7,2003
7/25/2003,December 05,S Change,0,7,2003
7/25/2003,December 05,Purchase,0,7,2003
7/25/2003,December 05,P Change,0,7,2003
7/25/2003,December 05,OI,0,7,2003
7/25/2003,December 05,OI Change,0,7,2003
7/25/2003,Totals,Sales,43492,7,2003
7/25/2003,Totals,S Change,536,7,2003
7/25/2003,Totals,Purchase,10374,7,2003
7/25/2003,Totals,P Change,225,7,2003
7/25/2003,Totals,OI,62627,7,2003
7/25/2003,Totals,OI Change,-1569,7,2003
7/3/2003,July 03,Sales,49,7,2003
7/3/2003,July 03,S Change,0,7,2003
7/3/2003,July 03,Purchase,0,7,2003
7/3/2003,July 03,P Change,-376,7,2003
7/3/2003,July 03,OI,61,7,2003
7/3/2003,July 03,OI Change,-76,7,2003
7/3/2003,October 03,Sales,2434,7,2003
7/3/2003,October 03,S Change,-52,7,2003
7/3/2003,October 03,Purchase,516,7,2003
7/3/2003,October 03,P Change,34,7,2003
7/3/2003,October 03,OI,4126,7,2003
7/3/2003,October 03,OI Change,728,7,2003
7/3/2003,December 03,Sales,8833,7,2003
7/3/2003,December 03,S Change,485,7,2003
7/3/2003,December 03,Purchase,6935,7,2003
7/3/2003,December 03,P Change,45,7,2003
7/3/2003,December 03,OI,43443,7,2003
7/3/2003,December 03,OI Change,1712,7,2003
7/3/2003,March 04,Sales,9758,7,2003
7/3/2003,March 04,S Change,166,7,2003
7/3/2003,March 04,Purchase,1121,7,2003
7/3/2003,March 04,P Change,0,7,2003
7/3/2003,March 04,OI,6435,7,2003
7/3/2003,March 04,OI Change,462,7,2003
7/3/2003,May 04,Sales,6322,7,2003
7/3/2003,May 04,S Change,437,7,2003
7/3/2003,May 04,Purchase,1481,7,2003
7/3/2003,May 04,P Change,1439,7,2003
7/3/2003,May 04,OI,2298,7,2003
7/3/2003,May 04,OI Change,6,7,2003
7/3/2003,July 04,Sales,9685,7,2003
7/3/2003,July 04,S Change,518,7,2003
7/3/2003,July 04,Purchase,177,7,2003
7/3/2003,July 04,P Change,0,7,2003
7/3/2003,July 04,OI,1956,7,2003
7/3/2003,July 04,OI Change,136,7,2003
7/3/2003,October 04,Sales,1756,7,2003
7/3/2003,October 04,S Change,-53,7,2003
7/3/2003,October 04,Purchase,17,7,2003
7/3/2003,October 04,P Change,0,7,2003
7/3/2003,October 04,OI,82,7,2003
7/3/2003,October 04,OI Change,0,7,2003
7/3/2003,December 04,Sales,1946,7,2003
7/3/2003,December 04,S Change,27,7,2003
7/3/2003,December 04,Purchase,23,7,2003
7/3/2003,December 04,P Change,0,7,2003
7/3/2003,December 04,OI,489,7,2003
7/3/2003,December 04,OI Change,0,7,2003
7/3/2003,March 05,Sales,572,7,2003
7/3/2003,March 05,S Change,427,7,2003
7/3/2003,March 05,Purchase,0,7,2003
7/3/2003,March 05,P Change,0,7,2003
7/3/2003,March 05,OI,10,7,2003
7/3/2003,March 05,OI Change,0,7,2003
7/3/2003,May 05,Sales,306,7,2003
7/3/2003,May 05,S Change,290,7,2003
7/3/2003,May 05,Purchase,0,7,2003
7/3/2003,May 05,P Change,0,7,2003
7/3/2003,May 05,OI,25,7,2003
7/3/2003,May 05,OI Change,0,7,2003
7/3/2003,July 05,Sales,606,7,2003
7/3/2003,July 05,S Change,580,7,2003
7/3/2003,July 05,Purchase,0,7,2003
7/3/2003,July 05,P Change,0,7,2003
7/3/2003,July 05,OI,0,7,2003
7/3/2003,July 05,OI Change,0,7,2003
